title,price,rating,discount
"POCO C55 (Power Black, 128 GB)  (6 GB RAM)","₹7,999",4.2,Extra ₹6000 off
"Motorola G34 5G (Ice Blue, 128 GB)  (8 GB RAM)","₹11,999",4.2,Extra ₹3000 off
"Motorola G34 5G (Ocean Green, 128 GB)  (8 GB RAM)","₹11,999",4.2,Extra ₹3000 off
"Motorola G34 5G (Charcoal Black, 128 GB)  (8 GB RAM)","₹11,999",4.2,Extra ₹3000 off
"Apple iPhone 14 (Blue, 128 GB)","₹54,999",4.6,Extra ₹14901 off
"realme C53 (Champion Gold, 128 GB)  (6 GB RAM)","₹9,199",4.4,Extra ₹4800 off
"realme C53 (Champion Black, 128 GB)  (6 GB RAM)","₹9,199",4.4,Extra ₹4800 off
"POCO C51 - Locked with Airtel Prepaid (Power Black, 64 GB)  (4 GB RAM)","₹4,999",4,Extra ₹5000 off
"realme C53 (Champion Black, 64 GB)  (6 GB RAM)","₹7,499",4.4,Extra ₹5500 off
"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)  (4 GB RAM)","₹7,999",4.2,Extra ₹3500 off
"realme C53 (Champion Gold, 128 GB)  (4 GB RAM)","₹8,999",4.1,Extra ₹3000 off
"POCO M6 Pro 5G (Forest Green, 128 GB)  (6 GB RAM)","₹10,999",4.3,Extra ₹6000 off
"POCO C55 (Power Black, 64 GB)  (4 GB RAM)","₹5,999",4.2,Extra ₹6000 off
"MOTOROLA G04 (Sea Green, 64 GB)  (4 GB RAM)","₹6,999",4.2,Extra ₹3000 off
"Motorola g54 5G (Mint Green, 128 GB)  (8 GB RAM)","₹13,999",4.2,Extra ₹4000 off
"REDMI 13C (Stardust Black, 128 GB)  (4 GB RAM)","₹7,799",4.3,Extra ₹4200 off
"vivo T2x 5G (Sunstone Orange, 128 GB)  (4 GB RAM)","₹13,780",4.4,Extra ₹1220 off
"MOTOROLA g24 Power (Ink blue, 128 GB)  (8 GB RAM)","₹8,999",4.2,Extra ₹4000 off
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)  (8 GB RAM)","₹19,398",4.4,Extra ₹1901 off
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)  (8 GB RAM)","₹17,394",4.4,Extra ₹1565 off
"REDMI A2 (Sea Green, 64 GB)  (2 GB RAM)","₹5,299",4.2,Extra ₹4700 off
"vivo T2x 5G (Sunstone Orange, 128 GB)  (6 GB RAM)","₹12,999",4.4,Extra ₹6000 off
"vivo T2x 5G (Glimmer Black, 128 GB)  (6 GB RAM)","₹12,999",4.4,Extra ₹6000 off
"vivo T2x 5G (Aurora Gold, 128 GB)  (6 GB RAM)","₹12,999",4.4,Extra ₹6000 off
